ID,X,Y
0,539008.36527542,631328.9963672181
0,539027.6435990734,631330.0367846851
1,539033.8302376597,631325.3633906307
1,539041.6706721473,631265.6677748311
2,539023.1231486833,631360.9166351589
2,539032.4109386851,631331.5442570819
3,539027.9261988377,631660.0455111495
3,539039.3615022436,631631.2324935555
4,539044.3827787274,631622.0643465916
4,539067.0927828763,631594.9584776022
5,539005.1350799187,631527.2661442268
5,539035.0505248917,631618.1374474808
6,539097.5236829281,631693.6832260923
6,539104.6959436714,631694.9926150722
7,539094.2527173347,631684.1968405753
7,539104.647122124,631644.8520231775
8,539070.6008587825,631703.7878812802
8,539084.8013494721,631696.1195508225
9,539042.947929846,631693.5638669853
9,539047.2142675373,631696.0324817967
10,539053.4192961329,631741.774973994
10,539106.1310805691,631759.1024453924
11,539113.9166103735,631742.3268361846
11,539116.7290523383,631757.3230059261
12,539135.9689194311,631763.6475546076
12,539207.0694079446,631762.5622087773
13,539123.397118102,631736.7657403755
13,539138.8272369092,631734.7284906708
14,539106.7966795878,631697.8217995557
14,539111.7159110069,631729.5102166658
15,534175.7824520415,632502.7237667076
15,534181.4238661829,632537.4257869096
16,539082.0798618156,631716.9884395484
16,539108.8480095544,631733.6148831175
17,539009.8843431061,631525.7026548032
17,539071.1254068555,631529.6377121542
18,539116.1991538428,631601.5346515273
18,539237.7871560828,631417.1261466077
19,538937.7148014118,631404.8515691251
19,538973.3033482945,631372.6455534932
20,538975.2264826976,631370.9052043619
20,538978.5411320844,631388.9516288008
21,538984.0845218078,631368.1370932166
21,539016.1709689636,631366.3186589587
22,538897.4974283978,631419.5236434445
22,538936.0312114819,631405.8566254155
23,538831.7840871307,631425.4344195691
23,538891.2143116602,631420.9555019104
24,538891.2648499812,631421.7341910412
24,538894.5052487276,631471.6619138315
25,539115.3675620662,631606.4650120736
25,539147.3842041118,631611.8651802732
26,539105.9364635681,631639.7143471543
26,539113.8152327554,631606.5379420816
27,539025.121168102,631667.113220424
27,539047.8619986495,631689.8487697538
28,539004.2066617729,631477.0146085813
28,539021.630839815,631367.0717554442
29,539041.6706721473,631265.6677748311
29,539058.9481992474,631241.3100239966
30,539008.8105767316,631706.4545863856
30,539025.0806955349,631667.0727572561
31,534145.545627762,632287.2538799817
31,534146.4004664717,632294.399041272
32,539113.7138286543,631696.7479984598
32,539150.99429717,631704.448318739
33,539105.007771369,631644.6277842149
33,539151.0033972033,631653.9501807408
34,538999.048776726,631482.6473271775
34,539003.5163761221,631520.283168556
35,538830.9998441332,631457.0279161269
35,538831.3474546347,631425.8999563672
36,538782.1172258864,631424.0986293134
36,538826.1856994941,631425.5585212702
37,538826.0001330178,631386.5257889772
37,538826.3506621808,631420.5045030024
38,539004.6978305704,631481.9904254199
38,539045.2455843987,631477.9879084193
